智能--它是什么？	Intelligence -- what is it?
我想说，给他更多的能量。	Well I say, more power to him.
这就是那种我们需要去探索的 激进想法， 如果你想获得关于意识的 纯还原论者的基于大脑的理论的话。	That's the kind of radical idea that we need to explore if you want to have a purely reductionist brain-based theory of consciousness.
同时，对于我和其他很多人来说， 这个观点有一点太接近于简单地 否认关于意识的已知资料 而不能令人满意。	At the same time, for me and for many other people, that view is a bit too close to simply denying the datum of consciousness to be satisfactory.
因此我选择了另一个不同的方向。	So I go in a different direction.
在余下的时间里， 我想探讨两个我认为可能有希望的 疯狂想法。	In the time remaining, I want to explore two crazy ideas that I think may have some promise.
第一种疯狂想法是 意识是一种基本概念。	The first crazy idea is that consciousness is fundamental.
物理学家有时候会把宇宙中的某些方面 作为基本概念，如： 空间、时间和质量。	Physicists sometimes take some aspects of the universe as fundamental building blocks: space and time and mass.
他们设定了一些基本定律去管理它们， 例如重力定律和量子力学定律。	They postulate fundamental laws governing them, like the laws of gravity or of quantum mechanics.
这些基本性质和定律 不能解释一些更基础的东西。	These fundamental properties and laws aren't explained in terms of anything more basic.
这相当于以它们为根本， 然后你在它们的基础上建立这个世界。	Rather, they're taken as primitive, and you build up the world from there.
现在，这张基本定律名单会不时扩大。	Now sometimes, the list of fundamentals expands.
在19世纪，麦克斯韦断定 你无法用当时存在的基本概念—— 空间、时间、质量、牛顿定律—— 去解释电磁现象， 因此他设定了电磁学的 基本定律， 并且设定了电荷 作为这些定律的 基本元素。	In the 19th century, Maxwell figured out that you can't explain electromagnetic phenomena in terms of the existing fundamentals — space, time, mass, Newton's laws — so he postulated fundamental laws of electromagnetism and postulated electric charge as a fundamental element that those laws govern.
我认为这与我们在研究意识上的 情形是一样的。	I think that's the situation we're in with consciousness.
如果我们不能用现存的基本概念—— 时间、空间、质量、电荷—— 去解释意识， 那么从逻辑上而言，你需要去扩充这张名单。	If you can't explain consciousness in terms of the existing fundamentals — space, time, mass, charge — then as a matter of logic, you need to expand the list.
接下来将意识本身设定为 某种根本性的东西， 作为自然界的基本概念就是一件自然而然的事。	The natural thing to do is to postulate consciousness itself as something fundamental, a fundamental building block of nature.
这并不意味着突然间你不能用它来研究科学了。	This doesn't mean you suddenly can't do science with it.
这反而是为你开僻了一条用它来研究科学的道路。	This opens up the way for you to do science with it.
然后我们需要做的就是研究 那些掌控着意识的基本定律， 那些将意识与其它基本概念—— 空间、时间、质量、物理过程—— 联系在一起的定律。	What we then need is to study the fundamental laws governing consciousness, the laws that connect consciousness to other fundamentals: space, time, mass, physical processes.
物理学家有时候说 我们希望那些基本定律可以简单到 能够把它们写在T恤上。	Physicists sometimes say that we want fundamental laws so simple that we could write them on the front of a t-shirt.
我想我们在对意识的研究上 也应该这样。	Well I think something like that is the situation we're in with consciousness.
我希望我们发现的关于意识的基本定律也可以简单到 能够把它们写在T恤上。	We want to find fundamental laws so simple we could write them on the front of a t-shirt.
我们现在还不知道这些定律是什么， 但这是我们正在寻找的。	We don't know what those laws are yet, but that's what we're after.
第二个疯狂的想法 是意识也许是普通存在的。	The second crazy idea is that consciousness might be universal.
也许每个系统都有某种程度的 意识。	Every system might have some degree of consciousness.
这种观点有时被称作泛心论： 万物皆有精神或心理活动， 每个系统都具有意识， 不仅是人类、狗、老鼠、苍蝇， 甚至连罗伯·奈特的微生物、 基本粒子都具有意识。	This view is sometimes called panpsychism: pan for all, psych for mind, every system is conscious, not just humans, dogs, mice, flies, but even Rob Knight's microbes, elementary particles.
