Bosnians protest Croatian plans for nuclear waste facility	クロアチアが核処理施設計画　ボスニア人が抗議
On September 26th, 2019, the Hokkaido Board of Education published an admissions guidebook for new students hoping to enter its public high schools in the 2020 academic year.	北海道教育委員会は2019年9月26日、2020年度（令和2年度）道立高等学校入学者選抜の手引を公表した。
At the same time, they confirmed that they have made the decision to abolish the gender section from high school application forms, a move that was made in consideration of transgender pupils taking the entrance examinations, and other pupils whose mental and physical genders do not match.	心と体の性が一致しないトランスジェンダーの受験生らに配慮し、入学願書の様式から性別の欄を廃止する。
Admissions schedule	選抜日程
The admissions guidebook for new students entering Hokkaido public high schools contains everything that hopeful students need, including the admissions schedule, number of applicants to be admitted, application requirements, application process, application changes, examination of academic ability, the announcement of results and reference material.	道立高等学校入学者選抜の手引は、選抜日程、募集人員、出願資格、出願の手続き、出願変更、学力検査、合格発表などの実施要項、参考資料などを1冊に取りまとめたもの。
It includes all the necessary information on admissions for ordinary students, recommendation based admissions, students entering a public high school from an affiliated junior high school, and students applying from outside the prefecture.	一般入学者選抜、推薦入学者選抜、連携型中高一貫教育を実施する道立高等学校入学者選抜、道外からの出願に係る入学者選抜などを盛り込んでいる。
Up until 2019, a gender section was provided on the application form, but in light of the need to more appropriately take into account individual sexual orientation and diversity of gender identity, the gender section will be removed from the 2020 application forms.	2019年度入学者選抜までは、入学願書に性別の欄を設けていたが、個人の性的指向や性自認の多様性への適切な配慮が求められていることに鑑み、2020年度入学者選抜では入学願書の様式から「性別」の欄を削る。
The five areas of academic ability that general admission students will be tested on are Japanese, mathematics, social studies, science and English.	一般入学者選抜の学力検査は、国語、数学、社会、理科、英語の5教科。
An English listening test is included in the English examination time.	英語の聞き取りテストは、英語の検査時間の中に含む。
The examination time for each subject is 50 minutes.	各教科の検査時間は50分。
That time is made up of five minutes at the beginning for instructions and giving out papers, and 45 minutes for answering.	このうち、解答に要する時間は各45分とし、検査時間の開始直後に受検者に対する注意、問題用紙などの配布に要する時間を5分間設ける。
There are 60 marks available in each subject	配点は、各教科60点。
The admissions schedule for students hoping to enter a public high school in Hokkaido in the 2020 academic year is as follows: applications for general admission will be accepted from January 21st, 2020 until noon on the 24th, changes to applications will be accepted from January 29th until 4pm on February 4th, the examination of academic ability will be on March 4th with the results being announced at 10am on March 17th; the second round of applications will be accepted from March 23rd until 4:30pm on the 24th, and the examination results from the second round will be announced on March 27th.	2020年度北海道立高等学校入学者選抜日程は、一般選抜の出願受付が2020年1月21日から24日正午、出願変更の受付が1月29日から2月4日午後4時、学力検査が3月4日、合格発表が3月17日午前10時、第2次募集の出願受付が3月23日から24日午後4時半、第2次募集の合格発表が3月27日まで。
