India and Japan prime ministers meet in Tokyo	Die Premierminister Indiens und Japans trafen sich in Tokio.
The exotic fruit is nevertheless healthy: they contain B vitamins as well as vitamins E and C. But most of all mangoes are full of vitamin A and its precursor, beta-carotene.	Gesund sind die exotischen Früchte trotzdem: In ihnen stecken B-Vitamine sowie die Vitamine E und C. Vor allem enthalten Mangos aber viel Vitamin A und dessen Vorstufe Beta-Karotin.
Eating the fruit boosts the sight, immune system and the body's metabolic processes.	Wer die Früchte isst, unterstützt somit Sehkraft, Immunsystem und Stoffwechselprozesse im Körper.
When buying mangoes they should not be too soft or too firm and they should have a pleasant aroma.	Beim Kauf sollten Mangos nicht zu weich oder zu fest sein und angenehm riechen.
It is not possible to tell from the colour of the skin how ripe the fruit is – even green mangoes can taste delicious.	Die Schalenfarbe allein sagt nichts darüber aus, wie reif die Frucht ist - also können auch grüne Mangos sehr lecker schmecken.
They should be kept at room temperature and consumed within a few days.	Sie sollten bei Zimmertemperatur lagern und innerhalb weniger Tage verzehrt werden.
They are delicious on their own or in sweet dishes.	Dann schmecken sie natürlich pur oder in süßen Speisen.
A mango also gives a special touch even to savoury dishes.	Eine Mango gibt aber auch herzhaften Gerichten eine besondere Note.
They mitigate the slightly bitter taste of some leaf salads such as chicory and radicchio.	Sie mildert den leicht bitteren Geschmack mancher Blattsalate wie Chicoree und Radiccio.
And a mango chutney goes well with fish, poultry, lamb and game.	Und ein Mangochutney passt gut zu Fisch, Geflügel, Lamm und Wild.
US parcel service UPS is again taking on up to 9,500 temporary staff for its Christmas service in the USA.	Der US-Paketdienst UPS stellt für das Weihnachtsgeschäft in den USA wieder bis zu 95000 Aushilfen ein.
The company has already started to recruit seasonal workers, UPS reported on Tuesday.	Das Unternehmen habe mit der Rekrutierung von Saisonarbeitern bereits begonnen, teilte UPS am Dienstag mit.
We are loooking for drivers in particular.	Vor allem Fahrer werden gesucht.
In the past few years, UPS increased its workforce by 9,500 for the four day season.	Bereits im vergangenen Jahr hatte UPS seine Belegschaft für die Feiertagssaison um 95000 Aushilfen aufgestockt.
In light of booming online business, UPS and its competitor FedEx have for several years been making provisions earlier in order to be prepared for Christmas business.	Angesichts des boomenden Online-Geschäfts treffen UPS und sein Konkurrent FedEx seit vergangenem Jahr früher Vorkehrungen, um für das Weihnachtsgeschäft gewappnet zu sein.
In 2013 there was harsh criticism of late deliveries by the parcel service.	2013 hatten verspätete Lieferungen den Paketdiensten harsche Kritik eingebracht.
First a foehn storm, then a pronounced cold front	Zuerst Föhnsturm, dann markante Kaltfront
The foehn will break through in the valleys on the northen side of the Alps in the coming night, Meteoschweiz announced on Tuesday.	In der kommenden Nacht bricht in den Tälern der Alpennordseite der Föhn durch, wie Meteoschweiz am Dienstag mitteilte.
The foehn will blow through the Foehn Valleys on Wednesday, continuing through the night, sometimes at gale force.	Am Mittwoch und in der Nacht zum Donnerstag bläst der Föhn teilweise mit Sturmstärke durch die Föhntäler.
Once the foehn has died away on Thursday morning a prominent cold front will cut across our region, bringing heavy rainfall, gusty winds and a drop in temperature.	Nach Föhnende am Donnerstagmorgen überquert uns eine markante Kaltfront, die kräftige Regenfälle, Windböen und einen Temperaturrückgang bringt.
According to MeteoNews, Switzerland is currently facing an extensive area of low pressure being brought from the British Isles in a strong southwestern flow.	Wie MeteoNews in einer Mitteilung schreibt, liegt die Schweiz derzeit auf der Vorderseite eines umfangreichen Tiefdruckgebietes über den Britischen Inseln in einer kräftigen Südwestströmung.
The foehn will break through the valleys on the northern sides of the Alps during Tuesday night.	Auf der Alpennordseite bricht in der Nacht zum Mittwoch der Föhn durch die Täler.
The foehn will then blow through the Foehn Valleys until Thursday morning with gusts of 60 to 100 km/h; occasionally, and particularly in the canton of Uri, increasing at times to over 100 km/h.	In der Folge bläst der Föhn bis Donnerstagmorgen in den Föhntälern mit Böen von 60 bis 100 km/h, vereinzelt und speziell im Urnerland teilweise auch mit über 100 km/h.
In places the foehn may advance into the adjacent midland, and on the mountains gale force winds of over 120 km/h are even possible.	Der Föhn kann stellenweise bis ins angrenzende Mittelland vordringen, und auf den Bergen sind sogar Orkanböen von über 120 km/h möglich.
While in the north stormy foehns on Wednesday will bring summery temperatures of 23 to 27 degrees, moisture will begin to build up on the southern slopes of the Alps.	Während im Norden am Mittwoch stürmischer Föhn für sommerliche Temperaturen von 23 bis 27 Grad sorgt, beginnt sich die Feuchtigkeit am Alpensüdhang zu stauen.
Here it will start to rain and this will continue until Thursday evening.	Hier setzt Regen ein, der bis Donnerstagabend anhält.
Over the next 48 hours the south of the Alps can expect over 100 litres of rain per square metre in places, following on from a large volume of rain which has fallen over the last few days.	In Summe muss südlich der Alpen in den nächsten 48 Stunden mit teilweise über 100 Liter Regen pro Quadratmeter gerechnet werden, dies nachdem in den letzten Tagen schon grosse Regenmengen gefallen sind.
On Thursday morning the foehn will die down, resulting in a cold front with heavy, sometimes thundery rain rolling from west to east over Switzerland.	Am Donnerstagmorgen geht dem Föhn die Luft aus, in der Folge rollt eine Kaltfront mit kräftigem, teilweise gewittrig durchsetztem Regen von West nach Ost über die Schweiz.
In conjunction with the cold front, the wind will get stronger increasing to stormy, and temperatures will decrease sharply.	Zusammen mit der Kaltfront frischt der Wind stark bis stürmisch auf, und die Temperaturen gehen deutlich zurück.
The following days will be autumnal in the north with temperatures of 15 to 20 degrees, whereas in the south it will be sunnier and warmer at the weekend with temperatures up to 25 degrees.	Die folgenden Tage präsentieren sich im Norden herbstlich mit 15 bis 20 Grad, im Süden hingegen wird es am Wochenende sonniger und wärmer mit bis zu 25 Grad.
Rome now has a Martin Luther Square	Rom hat jetzt einen Martin-Luther-Platz
Some 500 years after the Reformation, Rome now has a Martin Luther Square.	Knapp 500 Jahre nach der Reformation gibt es in Rom jetzt einen Martin-Luther-Platz.
In the presence of the Mayor of the City, Ignazio Marino, a hitherto unnamed square in the park on the Oppio Hill was on Wednesday bestowed with the name of the German reformer.	In Anwesenheit von Stadtpräsident Ignazio Marino wurde am Mittwoch ein bisher namenloser Platz im Park auf dem Oppio-Hügel auf den Namen des deutschen Reformators getauft.
On the "Piazza Martin Lutreo" he is now recognised as the "German theologian of the Reformation".	Auf der "Piazza Martin Lutero" wird er jetzt als "Deutscher Theologe der Reformation" gewürdigt.
The park is in the centre of Rome right next to the Colosseum	Der Park liegt mitten im alten Rom gleich neben dem Kolosseum.
The consortium of Evangelical churches in Rome proposed the choice of name.	Die Namensgebung war von der Arbeitsgemeinschaft der evangelischen Kirchen in Rom beantragt worden.
Jens-Martin Kruse, minister of the Evangelical Lutheran community in Rome, recalled on Wednesday that for centuries Protestants in the Pope's city often had to hide their faith.	Jens-Martin Kruse, Pfarrer der Evangelisch-Lutherischen Gemeinde in Rom, erinnerte am Mittwoch daran, dass die Protestanten in der Stadt der Päpste über Jahrhunderte als Minderheit oft nur im Verborgenen ihren Glauben leben konnten.
The square is a visual symbol that their tradition of the Christian faith is welcome in Rome.	Mit dem Platz werde in symbolischer Weise sichtbar, dass ihre Tradition des christlichen Glaubens in Rom willkommen sei.
As a young Augustinian monk, Martin Luther (1483-1546) stayed in Rome for a few months at the turn of the year between 1510 and 1511.	Martin Luther (1483-1546) hielt sich als junger Augustinermönch um die Jahreswende 1510/11 einige Monate in Rom auf.
At the time he considered the city to be a degenerate hotbed of vice.	Er empfand die Stadt damals als verkommenes Sündenbabel.
According to historians, his negative impressions may have been reinforced in his later fight against Rome.	Seine negativen Eindrücke dürften ihn nach Ansicht von Historikern in seinem späteren Kampf gegen Rom bestärkt haben.
Luther heralded the beginning of the Western Church with his theses against the selling of indulgences.	Luther hatte dann mit seinen Thesen gegen den Ablasshandel die Spaltung der abendländischen Kirche eingeleitet.
Talented artist invests three years in his personal interpretation of the Bible.	Hammer Künstler investierte drei Jahre in die persönliche Interpretation der Bibel
Jesus with the (gilded) crown of thorns is one of the major works that Otmar Alt has painted for his Bible.	Jesus mit der (vergoldeten) Dornenkrone ist eines der Hauptwerke, die Otmar Alt für seine Bibel gemalt hat.
Klaus Altepost has written an introduction and updated the text of the Bible.	Klaus Altepost hat die Einführung geschrieben und Bibeltexte aktualisiert.
In the beginning was the word?	Am Anfang war das Wort?
No, not in the Otmar Alt Bible, which has now been issued with magnificent pictures.	Nein, nicht bei der Otmar-Alt-Bibel, die jetzt mit prächtigen Bildern erschienen ist.
For Otmar Alt, who has devised his own personal interpretation of biblical stories in 150 motifs on paper and canvas, in the beginning was the picture.	Am Anfang war das Bild für Otmar Alt, der in 150 Motiven seine ganz persönlichen Interpretationen biblischer Geschichten auf Papier und Leinwand formuliert hat.
The 75-year-old conceived his "language" with bright colours and imaginative forms - which are however by no means synonymous with "funny" pictures.	Seine "Sprache" mit bunten Farben und fantasievollen Formen hat der 75-Jährige erhalten - was aber keineswegs gleichbedeutend ist mit "lustigen" Bildern.
On the contrary: depending on the respective themes, they can appear to be thoroughly gloomy.	Im Gegenteil: Den jeweiligen Themen angepasst, kann das durchaus recht düster wirken.
Otmar Alt worked on his Bible project for around three years and for this project he made a subjective choice from an artistic perspective from the many subject areas in the "Book of books".	Rund drei Jahre hat Otmar Alt an seinem Bibel-Projekt gearbeitet, für das er eine subjektiv-künstlerische Auswahl aus den vielen Themenbereichen des "Buches aller Bücher" getroffen hat.
