Biker reagiert blitzschnell und verhindert Schlimmeres	Biker reacts lightning fast and prevents worse.
Sie wiederholten den Trick, nachdem sie im März bei den Bahn-Weltmeisterschaften in London trotz des Rücktritts Hoys nur einen bescheidenen sechsten Platz holten.	And they repeated the trick after finishing a lowly sixth at March's Track World Championships in London, despite Hoy having since retired.
Das Problem zwischen Peking und London war der Ersatz des Anfahrers Jamie Staff.	The issue between Beijing and London was replacing specialist starter Jamie Staff.
Sie taten dies rechtzeitig als Hindes auftauchte.	They did so just in time as Hindes emerged.
Hoys Ruhestand erzeugte eine Lücke, die Kian Emadi und Matt Crampton versuchten zu schließen.	Hoy's retirement also created a void which Kian Emadi and Matt Crampton tried to fill.
Skinner war der Mann, bei dem sie blieben, als sie Potenzial in dem Schotten sahen, das sich jetzt entfaltet hat.	Skinner was the man Britain's coaches stuck with, seeing potential in the Scot which has now been realised.
Hindes, Kenny - die vor vier Jahren mit Hoy siegten - und Skinner setzten in den Qualifikationsrunden einen Olympiarekord, aber in den Standardrunden siegten die Neuseeländer in der ersten Runde.	Hindes, Kenny - champions with Hoy four years ago - and Skinner set an Olympic record in qualifying, but the standard was overtaken by New Zealand in the first round.
Und das britische Trio gewann das Duell mit Gold.	And the British trio won the duel for gold.
Hindes lag nach seiner Runde knapp zurück, aber Kenny brachte das Team nach vorne und Skinner hielt es.	Hindes was narrowly behind after his lap, but Kenny pushed the team in front and Skinner held on.
Ein Strategiewechsel machte einen großen Teil der Transformation aus, bei dem Hindes in einem höheren Gang fuhr, um ihn zu verlangsamen und es Kenny und vor allem Skinner zu ermöglichen, das Tempo zu halten.	A change of strategy was a big part of the transformation, with Hindes riding a bigger gear to slow him down and allow Kenny and, in particular, Skinner to keep pace.
Hoy sah von seiner Position als BBC-Experte aus zu und fiel Skinner, Kenny und Hindes auf, als diese auf das Podest stiegen.	Hoy watched on from his position as a BBC pundit and caught the eye of Skinner, Kenny and Hindes when they stepped on to the podium.
Der 23-jährige Skinner aus Glasgow sagte: "Es ist ein schmeichelnder Vergleich."	The 23-year-old Skinner, from Glasgow, said: "It's a flattering comparison."
Ich bin nur hier, um mein Bestes zu tun und mir einen Namen zu machen.	I'm just out there to do my best and make a name for myself.
Wir haben in der Endrunde einen Olympiarekord aufgestellt und die Weltmeister besiegt.	We set an Olympic record in the final and beat the world champions.
Es war einfach unglaublich.	It was just incredible.
Es gibt keine bessere Art dies zu gewinnen.	There's no better way to win it.
Nach dem Triumph 2012 an der Seite Kennys und Hoys gab Hindes zu, dass er nach einem schwachen Start absichtlich auf die Bahn fiel.	After triumphing at London 2012 alongside Kenny and Hoy, Hindes admitted to deliberately falling to the track following a poor start.
Er zog diese Aussage später zurück und es kam kein Einspruch von Englands Rivalen.	He later retracted the comment and there was no method of appeal from Britain's rivals.
Bei so einem überragendem Sieg gab es dieses Mal kein solches Problem.	There was no such issue this time around in a supreme victory.
Hindes sagte: "Es fühlt sich mit den ganzen GB Flaggen auf der Tribüne wie London an."	Hindes said: "It felt like London, with all the GB flags in the stand."
Wir sind in den letzten drei Monaten als Team zusammengekommen.	We all as a team came together in the last three months.
Wir sind bei so vielen Welttiteln so schlecht weggekommen, dass es unglaublich war, wieder bei der Olympiade zu gewinnen.	We've been losing out on so many world titles, so to win the Olympics again is just amazing.
Das ist ein Ereignis, eine Goldmedaille für die Nation, die sieben von 10 Titeln sowohl in Peking als auch in London gewonnen wurden.	That is one event, one gold medal for the nation which won seven out of 10 track titles in both Beijing and London.
Wenn das ein Barometer unseres Fortschritts in den letzten fünf Monaten ist, dass erwarten uns erfolgreiche fünf Tage im Velodrom.	If that is a barometer of the progress made in the last five months, then a successful five days in the velodrome awaits.
Mit der Form Kennys ist es im Bereich des Möglichen, dass er Hoys Sieg von drei olympischen Goldmedaillen in einem Wettbewerb wiederholt.	With the form Kenny demonstrated, it is not beyond the realms of possibility to imagine him repeating Hoy's feat of winning three Olympic golds in one Games.
Das würde für Kenny - der genau 12 Jahre jünger als Hoy ist, der ebenfalls am 23. März geboren wurde (ein anscheinend heiliges Datum für den britischen Sport; an dem Tag wurden auch Steve Redgrave, Mo Farah und Roger Bannister geboren) - eine Ausbeute von sechs Goldmedaillen und einer Silbermedaille bedeuten.	That would see Kenny - who is exactly 12 years younger than Hoy, who is also born on 23 March (that seemingly sacred date in British sport which is also the birthday of Steve Redgrave, Mo Farah and Roger Bannister) - take his tally to six gold medals and one silver.
Das käme der von Hoy gleich.	That would be the same as Hoy's.
Kenny nimmt als nächstes im Sprint teil, der heute beginnt und über drei Tage gehen wird.	Kenny next competes in the sprint, which begins on today and plays out over three days.
Der 28-jährige aus Bolton sagte: "Ich genieße dies nur für den Moment."	The 28-year-old from Bolton said: "I'm just enjoying this one for now.
Das Team-Ereignis ist immer am besten.	The team event is always the best.
Man kann es mit seinen Kollegen gewinnen.	You get to win it with your mates.
Es fühlt sich etwas einsam an, alleine zu gewinnen.	It's a bit lonely winning on your own to be honest.
Hindes sagte: "Wenn er zwei weitere Goldmedaillen gewinnt, sollte er zum Ritter geschlagen werden."	Hindes said: "If he wins another two gold medals, he should get a knighthood."
Es war der einzige Medaillenwettbewerb des Tages, aber es gab weitere gute Nachrichten für England.	It was the day's only medal event, but there was further good news for Britain.
Sir Bradly Wiggins, Ed Clancy, Steven Burke und Owain Doull qualifizierten sich mit der schnellsten Leistung im Vierer-Vier-Kilometerrennen.	Sir Bradley Wiggins, Ed Clancy, Steven Burke and Owain Doull qualified fastest in the four-man, four-kilometres team pursuit.
Sie kamen in 3:51,942 am Ziel an.	They finished in 3:51.943.
Der Weltrekord, der 2012 in London Gold gewann, lag bei 3:51,659.	The world record, set in winning gold at London 2012, is 3:51.659.
Die erste und finale Runde (22.42) finden heute am zweiten Tag des Wettbewers statt, bei dem Wiggins mit Sicherheit im Fokus stehen wird.	The first round and final (10.42pm) take place on today's second day of action, where Wiggins is sure to be the focus.
Er hatte sich gestern mit Beauftragten vor der Qualifikation gestritten, als ihn Funktionäre zu sich riefen, um seine Körpergröße zu messen.	He had a dispute with commissaires yesterday ahead of the qualification ride, when officials summoned him to measure his height.
Im entsprechendem Frauenwettbewerb, der morgen fortgesetzt und beendet wird, avancierten Laura Trott, Joanna Rowsell Shand, Elinor Barker und Katie Archibald of Milngavie in Weltrekordszeit in 4:13,260.	In the corresponding women's event, which resumes and concludes tomorrow, Laura Trott, Joanna Rowsell Shand, Elinor Barker and Katie Archibald of Milngavie advanced in a world record time, clocking 4:13.260.
Das GB Team verlässt sich auf sein starkes Bahnradteam, um die mittlere Periode der Olympischen Spiele zu dominieren und eine Schar an Medaillen zu holen.	Team GB have come to rely on its mighty track cycling squad to take ownership of the middle period of an Olympic Games and deliver a host of medals.
Nach einer wahrlich außergewöhnlichen Darstellung von absoluter Dominanz in Peking und London wurden die Erwartungen für Rio heruntergefahren.	After truly exceptional showings of utter dominance at Beijing and London, expectations have been played down in the lead-up to Rio.
Es spielten sich Dramas im Hintergrund ab, so der Rücktritt des technischen Leiters Shane Sutton im April inmitten von Sexismus- und Mobbingvorwürfen sowie der Ruhestand von Größen wie Hoy und Victoria Pendleton.	There have been dramas in the background, not least the resignation of technical director Shane Sutton in April amid sexism and bullying allegations, and the retirements of giant figures like Hoy and Victoria Pendleton.
Wenn man sich jedoch den ersten Abend des Wettbewerbs im Velodrom ansieht, sieht es ganz danach aus, als könnte der nun legendäre Ruf GBs, der zum perfekten Moment seinen Höhepunkt erreicht hat, wieder wiederholt werden.	However, on the evidence of the first night's racing in the velodrome, it looks like GB's now legendary reputation for peaking at the perfect time could be about to be repeated once again.
Zukunft der Schmelzerei von Portland aufgrund von Aufhebung des Energievertrages fraglich	Portland smelter's future in doubt with axing of power contract
Die Zukunft der Aluminiumschmelze von Portland in Victoria - sowie hunderter Arbeitsplätze von Arbeitern - stehen auf dem Spiel, da der Anlagenbetreiber den Energieliefervertrag kündigen und damit sämtliche Lieferverträge aufheben wird, wie das liefernde Energieunternehmen mitteilte.	The future of the Portland aluminium smelter in Victoria - and the jobs of hundreds of workers - is in doubt with the power company which supplies the plant disclosing one of the plant's owners is to terminate a supply contract, with all supply contracts expected to be axed.
Dieser Schritt folgte der Entscheidung der Regierung in Victoria Anfang dieses Jahres, keine weiteren Subventionen zum Betrieb der Anlage zu vergeben.	The move follows the decision of the Victoria government earlier this year to not extend subsidies provided to keep the plant in operation.
Eine für 20 Jahre festgelegte Subvention läuft im November aus.	A 20-year fixed subsidy expires in November.
Bis zu 2000 Arbeitsplätze in der Anlage von Alcoa in Portland stehen auf dem Spiel.	Up to 2000 jobs may be at risk at Alcoa's Portland plant.
Nicht weniger als 2000 Arbeitsplätze -direkte sowie indirekte - könnten bei einer Schließung gefährdet sein.	As many as 2000 jobs - direct and indirect - could be at risk with any closure.
Darüber hinaus könnte es zu Dominoeffekten kommen, da die Schmelzerei rund 10 Prozent der gesamten Stromerzeugung Victorias verbraucht.	And there could be additional knock-on effects since the smelter consumes around 10 per cent of Victoria's entire electricity output.
2014 schloss Alcoa die Point Henry Schmelzerei, was letztes Jahr zu einer Schließung des Anglesea Kraftwerks führte.	In 2014, Alcoa closed the Point Henry smelter which led to the closure last year of the Anglesea power plant.
Die Schmelzerei von Alcoa in Portland verliert Geld und riskiert eine Schließung.	Alcoa's Portland smelter is losing money and risks closure.
Dieser Schritt folgt den jahrelangen Spekulationen hinsichtlich der Zukunft der Anlage, ursprünglich als Folge des starken Australischen Dollars und zuletzt aufgrund des Strompreises für die Anlage.	The moves follows speculation about the future of the plant for several years now, initially in the wake of the strong Australian dollar and more recently due to the price for the output from the plant.
