Dominic Raab: Government can't make apologies for Spain quarantine decision	Dominic Raab：政府不能为隔离西班牙的决定道歉
It is understood that the projects built involved many areas including comprehensive treatment of regional water environment (including protecting the ecological environment of Wabu Lake), environmental protection of drinking water sources, comprehensive remediation of rural environment, prevention and control of pollution at large-scale livestock and poultry farms, pollution treatment of industrial enterprises, and demonstrations of construction of ecological cities.	据了解，项目建设涉及到区域水环境综合治理(包括瓦埠湖生态环境保护)、饮用水源地环境保护、农村环境综合整治、规模化畜禽养殖污染防治、工业企业污染治理以及生态市建设示范等多个方面。
The projects, upon implementation, had a positive effect on advancing Lu’an City’s regional scientific development, achieving rehabilitation for lakes, accelerating improvement in the water environment of drainage basins, ensuring safety in drinking water, and advancing energy saving and emission reduction.	项目实施后，对促进六安市区域科学发展，实现湖泊休养生息，加快流域水环境质量改善，保障饮用水安全，推进节能减排具有积极作用。
Today, four groups including Tonglu County, Zhejiang Province, which contributed to Beautiful China won the 8th China Environmental Award.	今天，浙江省桐庐县等4个为美丽中国作出贡献的群体荣获第八届中华环境奖。
Established in 2000, the China Environmental Award is the most prestigious award in the field of environmental protection in China. The judging panel is made up of many Central government departments.	设立于2000年的中华环境奖是我国环境保护领域的最高奖项，由多个中央部门组成评选委员会。
Li Wei, head of the judging panel and Secretary-General of China Environmental Protection Foundation said that China is now confronted with legacy ecological issues from a growth model that was GDP-heavy and environmental protection-light for a few decades.	评选委员会负责人、中华环保基金会秘书长李伟说，我国正面临着前几十年重GDP、轻环保发展模式遗留下来的生态问题。
The selection of the current China Environmental Award was aimed at honoring entities and individuals that have contributed to improving the environment and people’s livelihoods so as to reflect popular will.	本届中华环境奖的评选，旨在表彰那些为改善环境民生作出贡献的单位及个人，以体现对民意的尊重。
As far as the judging panel was concerned, Tonglu County in Zhejiang Province which was founded on the basis of ecology should win this honor.	在评选委员会看来，以生态立县为本的浙江省桐庐县当获此殊荣。
According to popular vote, the voice of US actor Morgan Freeman will be used for Jarvis, the domestic AI helper Facebook CEO Mark Zuckerberg built himself.	根据大众的投票，Facebook CEO马克·扎克伯格（Mark Zuckerberg）自制家用人工智能助理Jarvis将使用美国影星摩根·弗里曼（Morgan Freeman）的声音。
This system operates in the Zuckerberg home, and its name is similar to Tony Stark’s AI helper in the movie “Iron Man”.	这套系统在扎克伯格家中运行，它的名字与电影《钢铁侠》中托尼·史塔克（Tony Stark）的人工智能助手相同。
Hubei police smashed four cross-border telecommunication fraud syndicates in connection with more than 500 cases in 31 provinces, cities and counties involving more than RMB70 million	湖北警方跨国端掉4个电信诈骗团伙串并31个省市县500余起案件涉案金额7000余万元
Staff reporter Cai Changchun. “Legal Daily” learned from the Ministry of Public Security today that a series of cross-border telecommunication network scams was uncovered in an action under the command of the Ministry of Public Security entailing the police from Xiangyang, Hubei going to Malaysia, and with the cooperation of the Royal Malaysian Police. It was a fairly typical Taiwanese telecommunication network scam.	本报记者蔡长春《法制日报》记者今天从公安部了解到，由公安部指挥、湖北襄阳警方赴马来西亚，在马来西亚警察总署配合下破获的跨国系列电信网络诈骗案，是一起比较有代表性的台湾系电信网络诈骗案件。
How soccer's financial rules impact Neymar's move to Paris	足球界财务规则对内马尔 (Neymar) 转会巴黎有何影响？
Rules aimed at preventing unfettered spending by European soccer clubs will not disrupt Neymar's world-record transfer from Spain's Barcelona to France's Paris-Saint Germain.	旨在防止欧洲豪门足球俱乐部不受限制支出的规则并不会阻碍内马尔以创记录的价格从西班牙的巴塞罗那俱乐部转会到法国的巴黎圣日尔曼足球俱乐部 (PSG) 。
Any consequences will come further down the line for Paris Saint-Germain from UEFA, the governing body overseeing the European game which has the power to ban teams from the prestigious Champions League tournament.	由此造成的后果则是欧洲足球协会联盟 (UEFA) 对巴黎圣日尔曼足球俱乐部实行进一步降级。欧洲足球协会联盟是欧洲足球比赛的管理机构，有权禁止各球队参加广受关注的欧冠联赛。
Financial Fair Play rules launched by UEFA in 2011 mean that PSG will eventually have to show that Neymar's transfer was funded without incurring huge losses.	2011 年欧足联推出的《金融公平竞赛规则》 (FFP) 意味着巴黎圣日尔曼足球俱乐部最终必须证明内马尔的转会获得资金资助而不会造成巨额亏损。
Barcelona has been paid 222 million euros ($262 million) just to buy the Brazilian out of his contract and Neymar will command a salary that will run to tens of millions of dollars a year.	巴塞罗那俱乐部已经支付了 2.22 亿欧元（2.62 亿美元），仅仅是为了支付该名巴西球员的解约费用，而内马尔的薪水每年将高达数千万美元。
Here are some of the financial aspects of Neymar's move to France.	以下是内马尔转会至法国所产生的一些财务影响。
PSG can certainly stump up the cash to sign Neymar and add him to a galaxy of other stars, given the team's funding from the energy-rich ruling family of Qatar.	考虑到该球队的资金来自财大气粗的卡塔尔统治家族，巴黎圣日尔曼足球俱乐部当然可以用现金签约内马尔，并将他纳入到其他明星云集的战队。
Clubs are allowed to spend heavily on acquiring players but they have to counterbalance that with legitimate sources of income, allowing them to approach break-even on their football-related business.	俱乐部可以花巨资购买球员，但他们必须利用合法的收入来源来弥补所花巨资，使他们在足球的相关业务上实现盈亏平衡。
