ほのかが【田中みな実さん風ヘア】になる！	Honoka's New [Tanaka Minami hairstlye] Look!
審査委員会は、各委員と関係がないか、以前に利害のない外部からの公正中立なメンバーで構成するべきである。	The Vetting Committee should be neutral people from outside who have not shown affiliation with any member and who have not shown interest before.
例えば、デイビス氏は弁護士としてNCと契約し、１割報酬に関してオセイ・クワク・パーマ氏に手紙を書いた。	For instance, Mr. Davies was contracted by the NC as a lawyer to write to Osei Kwaku Palmer concerning a 10 per cent payment.
同氏はオリンピック支持者としても知られている。	He is also a known Olympics supporter.
こうした２つの理由から、彼には利害があるということで、審査委員の任務は許可されるべきではない、とマヌ 氏は反論した。	For these two reasons, he should not be allowed to serve on the vetting committee because he has interest," he argued.
マヌ氏は、オリンピック理事のフレッド・パポエ氏が委員会に出席すれば、氏のクラブとの関係性から委員長側に利益相反が生じると述べる一方で、パーマー氏が委員会に出席すれば、氏に対しては偏見と不公平があることを示唆した。	Mr. Manu said there would be conflict of interest on the Chairman's part if Mr. Fred Pappoe, a Director of Olympics appear before the Committee because of his affiliation to the club whilst suggesting there would be prejudice and partiality towards Mr. Palmer if he appeared before the Committee.
委員会メンバーは、9月19日（木）にGFAアクラ事務局で開催された式典で就任後、昨日より活動開始し、10月4日に終了する予定であった。	Members of the Committee were expected to begin work from yesterday and end on October 4 after being sworn in at a ceremony held at the GFA Secretariat in Accra on Thursday September 19.
委員長は、コーポレート・ガバナンス・コンサルタント社のフランク・デイビス氏、委員は弁護士のマリアン・バーノア氏とエマニュエル・ダークワー氏。	The chairman of the Committee is Mr. Frank Davies with Corporate Governance Consultant and legal practitioner, Mrs. Marian Barnor and Mr. Emmanuel Darkwah as members.
その他の委員には、マーケティング・営業担当のレジナルド・ラリエア氏、スポーツ理事で弁護士のリチャード・アクポカヴィ氏がいる。	Other members are Mr. Reginald Laryea, Marketing and Business Executive and Mr. Richard Akpokavie, a Sports Administrator and Legal Practitioner.
国が掲げる最低賃金の引き上げ目標「時給千円」について、福井県内中小企業の５４・２％が「最低賃金千円でもよい」と考えていることが、福井商工会議所の調査で分かった。	Regarding the government's target of raising the minimum wage to 1,000 yen per hour, an investigation carried out by the Fukui Chamber of Commerce and Industry found that 54.2% of small to medium businesses in Fukui Prefecture think that the minimum wage can be 1,000 yen.
２０１８年度は９割の企業が採用募集を行った一方で、予定数を「確保できた」とする企業の割合は新卒・中途の正社員で５割前後、非正規社員採用では３割にとどまっており、人材確保に苦悩する企業像が浮かび上がった。	Despite 90% of businesses carrying out recruitment drives in the 2018 financial year, of the companies that said they were able to secure the required number of labourers, regular employees - whether recently graduated or switching jobs mid-career - made up around 50% of this amount, whilst the recruitment of non-regular employees accounted for 30%, exposing the emerging struggle for companies to secure labour.
時給千円への引き上げに「賛成」と答えた企業は情報関連（１００ ％ ） 、建設業（７０・６ ％ ） 、卸売業（６１・７ ％ ） が多かった。	Of the companies who answered that they were in favour of raising the hourly wage to 1,000 yen, IT-related (100%), construction (70.6%) and wholesale (61.7%) companies were in the majority.
